,807.E.S.11.b,1883.2008.269.Crump.Artic.LTREB.main.lane2.NoIndex,1627.ZCCK1,1711.KAM6.3,1034.ZKD2,722.TRRsed3.4.s.4.1.sequence,1883.2007.214.Crump.Artic.LTREB.main.lane2.NoIndex,1222.B4.5.8.06,1288.NSB30jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,1242.ME07Aug08EB2R2,1453.47548SDZ2.C8.Cang.stom,1642.MS00567,1198.ANT02.S1M2,1034.ZKE4,1580.1CA.sed.D1,550.L1S264.s.1.sequence,1001.SKM9,1747.DZF.6202012.RJ.glass.window,809.PLRP15.mat,861.H10.mar09,1773.Columb.passer8.lgi,933.Phylospora.comosa.1.5,1774.53Fecal23.10.09,678.T.RFLP.Sample.636,1883.2011.54.Crump.Artic.LTREB.main.lane3.NoIndex,1642.MS00602,910.PocTA2,1039.L.Vermelha.SC.2.3,1748.5.15.12.FI.11.V,807.C.F.11.b,2382.SH004.C1.RH.2.609.leav.9.12.lane8.NoIndex.L008.sequences,807.S.F.11.b,1773.Columb.passer5.ugi,1642.MS00635,1713.McG.L3B1020,804.LS11.70a,2080.S39D435,722.M31Fcsw.3.s.3.1.sequence,933.T.1.1.S.E.4,1064.W.CV123,1627.LBC1,1883.2011.498.Crump.Artic.LTREB.main.lane4.NoIndex,662.M23,2382.SH004.C1.RH.1.605.gp.9.12.lane8.NoIndex.L008.sequences,861.C15.dec08,1883.2008.151.Crump.Artic.LTREB.main.lane2.NoIndex,2382.RU006.C181.RH.4.794.leav.9.12.lane8.NoIndex.L008.sequences,1642.MS00454,722.M31Plmr.7.s.8.1.sequence,1883.2011.494.Crump.Artic.LTREB.main.lane4.NoIndex
Bacteroidetes,0.03764933806909913,0.05127542783338715,0.12392638036809817,0.01614465611882467,0.02789796577332903,0.027252179528576042,0.0488860187278011,0.025185663545366485,0.029577010009686794,0.05676461091378754,0.10448821440103326,0.026541814659347757,0.05269615757184372,0.0,0.09480142072973846,0.11333548595414918,0.049983855343881174,0.042686470778172426,0.06961575718437198,0.0388763319341298,0.00878269292864062,0.0585728123990959,0.02835001614465612,0.023183726186632225,0.048563125605424605,0.023635776557959315,0.002583144979011947,0.018211172102034226,0.02092347432999677,0.02583144979011947,0.0,0.03803680981595092,0.005553761704875686,0.02783338714885373,0.001226993865030675,0.03538908621246367,0.0037455602195673233,0.19522118178882789,0.052954472069744914,6.457862447529868e-05,0.010009686793671296,0.022537939941879238,0.03829512431385212,0.0,0.03538908621246367,0.03500161446561188,0.0,0.026993865030674847,0.045140458508233776,0.04623829512431385
WS3,0.012869038607115822,0.0,0.0,0.05450416351249054,0.0,0.03028009084027252,0.016654049962149888,0.0,0.0,0.000757002271006813,0.0,0.018925056775170326,0.0,0.0,0.010598031794095382,0.0,0.0,0.0,0.006056018168054504,0.06510219530658592,0.0,0.0,0.0,0.052233156699470096,0.004542013626040878,0.03406510219530658,0.0,0.008327024981074944,0.0,0.018925056775170326,0.0,0.026495079485238455,0.0,0.0174110522331567,0.0,0.0,0.0,0.0,0.0,0.0,0.01968205904617714,0.003028009084027252,0.0,0.0,0.0,0.001514004542013626,0.0,0.01968205904617714,0.0,0.018168054504163512
Elusimicrobia,0.02110022607385079,0.0,0.0,0.04069329314242653,0.0,0.0,0.018839487565938208,0.0,0.0,0.0,0.0,0.02260738507912585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002260738507912585,0.0007535795026375283,0.0037678975131876413,0.016578749058025623,0.0,0.003014318010550113,0.0,0.024868123587038434,0.0,0.023360964581763375,0.0,0.023360964581763375,0.006028636021100226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007535795026375283,0.0,0.016578749058025623,0.0,0.0
Proteobacteria,0.05400845780097175,0.017702897246715855,0.04066942594925319,0.04307630016195789,0.042266510707216126,0.04948713334533021,0.053985963649451144,0.03394367464459241,0.04172665107072161,0.036845420190750405,0.002024473636854418,0.03605812488752924,0.08487043368724131,0.02058214864135325,0.03344880331113911,0.001439625697318697,0.08939175814288285,0.019412452762281807,0.043526183192369984,0.05785495771099514,0.00843530682022674,0.030547057764981105,0.016263271549397156,0.07285855677523843,0.059092136044628395,0.032818967068562174,0.011404534820946555,0.0242262011876912,0.09069641893107792,0.061229080439085835,0.00013496490912362786,0.04570811588986863,0.0067032571531401835,0.031671765341011335,0.048362425769299985,0.04273888788914882,0.10014396256973188,0.0015520964549217203,0.08226111211085117,0.006748245456181393,0.03556325355407594,0.046652870253734026,0.0794493431707756,0.00013496490912362786,0.05016195789094836,0.07526543098794314,0.009829944214504229,0.030547057764981105,0.025463379521324457,0.053806010437286306
Acidobacteria,0.04373836745546397,0.005450678011167243,0.0009306035628822122,0.08588141451741559,0.11818665248604095,0.0061153948417973945,0.054506780111672426,0.0,0.02672161659133209,0.0003988300983780909,0.0,0.07311885136931667,0.0009306035628822122,0.1320127625631481,0.002260037224142515,0.0,0.0030576974208986973,0.003323584153150758,0.003323584153150758,0.0014623770273863334,0.0,0.04333953735708588,0.0,0.014623770273863334,0.011300186120712576,0.08574847115128956,0.0,0.2749268811486307,0.0,0.06873172028715767,0.0,0.0938580164849774,0.0,0.08122839670300452,0.28915182132411593,0.00026588673225206064,0.0010635469290082426,0.0,0.00026588673225206064,0.00013294336612603032,0.022866258973677212,0.00824248869981388,0.0,0.0,0.00013294336612603032,0.017548524328636,0.0,0.06048923158734379,0.0,0.01276256314809891
Parvarchaeota,0.009015256588072122,0.0,0.0034674063800277394,0.0027739251040221915,0.0,0.011095700416088766,0.006934812760055479,0.0,0.0,0.0,0.0,0.016643550624133148,0.0,0.0,0.0811373092926491,0.0,0.0,0.0,0.0006934812760055479,0.014563106796116505,0.0,0.0,0.0,0.022191400832177532,0.009708737864077669,0.0076282940360610264,0.0,0.0,0.0,0.008321775312066574,0.0,0.0048543689320388345,0.0,0.024965325936199722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006934812760055479,0.0,0.0,0.0076282940360610264,0.0,0.0,0.0076282940360610264,0.0,0.010402219140083218
Verrucomicrobia,0.0337995337995338,0.08333333333333333,0.004224941724941725,0.03292540792540793,0.0219988344988345,0.0034965034965034965,0.07459207459207459,0.0002913752913752914,0.042395104895104896,0.06526806526806526,0.0008741258741258741,0.027826340326340328,0.030594405594405596,0.024912587412587412,0.003642191142191142,0.00043706293706293706,0.0013111888111888112,0.0005827505827505828,0.1097027972027972,0.002768065268065268,0.009906759906759906,0.12077505827505827,0.0,0.006118881118881119,0.0236013986013986,0.04487179487179487,0.0,0.17803030303030304,0.0,0.017191142191142192,0.0,0.040646853146853144,0.005827505827505828,0.040355477855477856,0.034236596736596736,0.012092074592074592,0.0002913752913752914,0.0,0.030303030303030304,0.0,0.036567599067599064,0.008158508158508158,0.006847319347319347,0.0,0.003933566433566434,0.027389277389277388,0.0,0.03365384615384615,0.00043706293706293706,0.016608391608391608
Firmicutes,0.0009763891354518019,0.00017752529735487306,0.0313332149831351,0.01872891887093911,0.027427658441327888,0.012071720220131369,0.0,0.0,0.0004438132433871827,0.001331439730161548,0.21480560979939642,0.008787502219066217,0.00692348659684005,0.14184271258654357,0.012338008166163678,0.25918693413811467,0.0019527782709036039,0.15400319545535238,0.0035505059470974615,0.010030179300550328,0.324516243564708,0.007456062488904669,0.1518728918870939,0.0018640156222261672,0.013403159950292917,0.010118941949227765,0.0023965915142907866,0.004083081839162081,0.038345464228652586,0.0,8.876264867743653e-05,0.0002662879460323096,0.19723060536126397,0.009497603408485709,8.876264867743653e-05,0.15799751464583703,0.0015977276761938576,0.16722883010829043,0.0,0.25039943191904845,0.08325936445943546,0.001686490324871294,0.0,0.0,0.04171844487839517,8.876264867743653e-05,0.0,0.03275341736197408,0.15693236286170778,0.02050417184448784
Planctomycetes,0.020525657071339173,0.08068418856904463,0.00033375052148518984,0.01702127659574468,0.0060909470171047145,0.026366291197329996,0.013516896120150187,8.343763037129746e-05,0.0,0.007676261994159366,0.0,0.009595327492699207,0.0020859407592824365,0.017939090529828953,8.343763037129746e-05,0.0,0.00016687526074259492,0.0017521902377972466,0.005506883604505632,0.007592824363788068,0.003838130997079683,0.00817688777638715,0.0,0.018105965790571547,0.00851063829787234,0.012932832707551106,0.0,0.002002503128911139,0.00025031289111389235,0.018105965790571547,0.0,0.03204005006257822,0.003087192323738006,0.013683771380892783,0.006675010429703796,0.0005006257822277847,0.0006675010429703797,0.0,0.005256570713391739,0.0,0.009011264080100126,0.006174384647476012,0.00016687526074259492,0.0,0.0020859407592824365,0.01576971214017522,0.0,0.00951188986232791,0.0,0.005173133083020442
SR1,0.0,0.0,0.045714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0457142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.0,0.005714285714285714,0.022857142857142857,0.0
